id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:58.830069,46.840424,-0.76084554,184.22627,22.216482,0.018619502,0.3647928,0.018619502
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:58.840069,46.842674,-0.74324715,184.24231,23.501316,0.023911536,0.5292035,0.023911536
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:58.850069,46.8432,-0.72255117,184.24551,25.236565,0.020950573,-0.2960963,0.020950573
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:58.860069,46.844627,-0.70016336,184.25359,26.444042,0.023838732,0.28881595,0.023838732
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:58.870069,46.8413,-0.67555106,184.241,28.078964,0.027843611,0.40048787,0.027843611
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:58.880069,46.83992,-0.6488662,184.24002,29.539938,0.026738483,-0.11051283,0.026738483
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:58.890069,46.83627,-0.6201322,184.22554,30.491064,0.032384362,0.56458783,0.032384362
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:58.900069,46.833977,-0.5880751,184.21901,30.771118,0.032794937,0.041057564,0.032794937
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:58.920069,46.8341,-0.55216765,184.22032,30.330563,0.017965749,-0.74145937,0.035931498
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:58.930069,46.82921,-0.5125052,184.20404,30.440142,0.0431488,2.518305,0.0431488
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:58.940069,46.82989,-0.47066665,184.2096,30.469336,0.042209927,-0.093887255,0.042209927
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:58.950069,46.82693,-0.4261831,184.1979,30.79371,0.046087004,0.38770762,0.046087004
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:58.960069,46.826088,-0.3799209,184.1995,31.441446,0.046297055,0.021005126,0.046297055
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:58.970069,46.822014,-0.3316361,184.18796,32.187023,0.049809773,0.35127178,0.049809773
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:58.980069,46.82048,-0.28137892,184.18661,33.120956,0.05029835,0.048858017,0.05029835
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:58.990069,46.82343,-0.22951482,184.19807,34.108578,0.05319635,0.28979942,0.05319635
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.000069,46.82509,-0.17676543,184.21182,34.887512,0.05453535,0.1339005,0.05453535
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.010070,46.82678,-0.12271314,184.2215,34.17276,0.05493109,0.039569832,0.054936584
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.020070,46.823967,-0.069186464,184.21716,33.84168,0.053775623,-0.11554676,0.053775623
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.030070,46.826683,-0.01629721,184.22894,33.0034,0.05425456,0.047893837,0.05425456
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.040070,46.82405,0.037136745,184.22493,32.34758,0.053649314,-0.06052466,0.053649314
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.050070,46.82226,0.09136543,184.22678,32.11342,0.054289453,0.064013846,0.054289453
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.060070,46.814556,0.14707409,184.20503,31.892443,0.060296476,0.6007024,0.060296476
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.070070,46.8108,0.20379011,184.1969,33.040413,0.05741916,-0.28773174,0.05741916
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.080070,46.80578,0.26175708,184.1854,33.96649,0.059310365,0.18912055,0.059310365
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.090070,46.800564,0.3217054,184.17986,34.57168,0.06042922,0.11188555,0.06042922
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.100070,46.79843,0.3835241,184.18147,35.405994,0.061876543,0.14473227,0.061876543
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.110070,46.79772,0.44736126,184.18742,34.407303,0.06411816,0.2241616,0.06411816
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.120070,46.79494,0.51277655,184.18729,32.92542,0.06547448,0.13563198,0.06547448
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.130070,46.791744,0.5802068,184.19125,32.482445,0.067622244,0.21477675,0.067622244
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.150070,46.784184,0.6522158,184.17764,33.132378,0.036836766,-1.5392741,0.07367353
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.160070,46.775337,0.7265416,184.15933,34.01811,0.07705495,4.0218186,0.07705495
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.170070,46.77433,0.80163676,184.17078,35.091507,0.07596793,-0.10870188,0.07596793
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.180070,46.77347,0.8777847,184.18597,35.851215,0.07765454,0.16866101,0.07765454
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.190070,46.77265,0.9541563,184.2019,35.869503,0.07801865,0.036410492,0.07801865
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.200070,46.77071,1.0306921,184.21126,35.76527,0.07713135,-0.088729315,0.07713135
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.210070,46.766228,1.1071848,184.21252,35.58485,0.07663417,-0.049718693,0.07663417
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.220070,46.755943,1.1837574,184.19939,34.4384,0.0783706,0.17364347,0.0783706
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.230070,46.74596,1.2602532,184.18762,33.253494,0.07803451,-0.033608966,0.07803451
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.240071,46.733757,1.3371092,184.16406,32.60445,0.08130213,0.3267288,0.08131026
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.250071,46.728325,1.4122424,184.16176,32.706852,0.07536409,-0.5938033,0.07536409
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.260071,46.72571,1.487433,184.17328,33.741417,0.0761117,0.07476028,0.0761117
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.270071,46.72074,1.5634837,184.17612,34.66768,0.07626578,0.015408364,0.07626578
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.280071,46.711475,1.6411237,184.16074,35.404446,0.07968747,0.34216857,0.07968747
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.290071,46.701847,1.7212476,184.15042,36.510735,0.08135676,0.16692904,0.08135676
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.300071,46.69387,1.8045571,184.14514,36.58919,0.08385735,0.25005955,0.08385735
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.310071,46.685772,1.8908055,184.14261,37.065422,0.08666466,0.2807313,0.08666466
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.320071,46.68213,1.9798237,184.15373,34.413284,0.08978555,0.31208923,0.08978555
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.330071,46.675823,2.070571,184.1571,33.35623,0.09102793,0.12423756,0.09102793
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.340071,46.670578,2.1630075,184.16667,33.025024,0.09307907,0.2051132,0.09307907
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.350071,46.66535,2.2565875,184.18277,33.346344,0.095099546,0.20204796,0.095099546
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.370071,46.65882,2.3550272,184.19202,34.973083,0.04954411,-2.2777717,0.09908822
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.380071,46.65008,2.4563062,184.19553,36.01773,0.101716,5.2171884,0.101716
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.390071,46.637276,2.560088,184.19025,36.12539,0.10470233,0.2986334,0.10470233
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.400071,46.626064,2.6668692,184.18613,36.71828,0.107447125,0.2744796,0.107447125
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.410071,46.6103,2.7761674,184.17216,36.86664,0.111309454,0.38623303,0.111309454
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.420071,46.59887,2.8883712,184.1756,37.412983,0.11283647,0.1527013,0.11283647
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.430071,46.584385,3.0029888,184.16925,34.6191,0.115703195,0.28667256,0.115703195
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.440071,46.573303,3.1207008,184.17952,33.686333,0.11867728,0.2974085,0.11867728
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.450071,46.557465,3.23986,184.17354,33.453773,0.12035633,0.16790454,0.12035633
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.460072,46.539906,3.3591704,184.15956,33.868988,0.12138992,0.10334882,0.121402055
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.470072,46.5216,3.4736967,184.14117,34.906593,0.117429286,-0.3960632,0.117429286
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.480072,46.508404,3.586126,184.14607,35.70352,0.11330725,-0.41220313,0.11330725
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.490072,46.499462,3.6957343,184.16412,36.267532,0.111445345,-0.1861907,0.111445345
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.500072,46.486145,3.80114,184.16628,36.567123,0.10626576,-0.5179585,0.10626576
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.510072,46.475197,3.9036167,184.17804,37.040764,0.10372914,-0.25366217,0.10372914
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.520072,46.462322,4.0055976,184.17744,36.962082,0.102791965,-0.09371768,0.102791965
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.530072,46.448284,4.108503,184.17915,34.093582,0.103872985,0.10810197,0.103872985
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.540072,46.434,4.2135496,184.1843,33.731987,0.10613853,0.2265548,0.10613853
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.550072,46.41997,4.321883,184.19115,34.15569,0.10945253,0.33139968,0.10945253
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.560072,46.40247,4.4347277,184.18802,35.154587,0.1142372,0.47846705,0.1142372
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.570072,46.387405,4.5540514,184.20131,36.291546,0.12100264,0.67654413,0.12100264
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.580072,46.36821,4.677565,184.19647,36.906242,0.12508951,0.408687,0.12508951
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.590072,46.3494,4.804741,184.19781,37.66742,0.1285664,0.3476889,0.1285664
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.600072,46.329906,4.93312,184.19943,38.315453,0.12986055,0.12941542,0.12986055
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.610072,46.308136,5.0613475,184.19417,38.6355,0.1301697,0.030915294,0.1301697
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.620072,46.28696,5.1870446,184.19383,38.55298,0.12746866,-0.2701049,0.12746866
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.630072,46.266327,5.3107142,184.19379,35.558727,0.1253793,-0.20893595,0.1253793
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.640072,46.244827,5.432446,184.18474,34.55293,0.123945855,-0.14334413,0.123945855
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.650072,46.22673,5.5540166,184.19598,34.54601,0.12342279,-0.05230673,0.12342279
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.660072,46.205006,5.675293,184.19757,35.92703,0.12321708,-0.020570228,0.12321708
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.670072,46.17877,5.7971325,184.18665,36.597424,0.12511149,0.18944077,0.12511149
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.680072,46.151596,5.9213963,184.17299,37.60602,0.12793115,0.28196564,0.12793115
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.690073,46.12234,6.0492663,184.15726,38.186058,0.13210015,0.41685832,0.13211337
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.700073,46.09678,6.1814995,184.15497,37.86645,0.13470104,0.26008973,0.13470104
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.710073,46.07057,6.3155327,184.15176,37.877983,0.13660817,0.1907124,0.13660817
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.720073,46.04206,6.449653,184.14166,38.47542,0.13748892,0.088074684,0.13748892
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.730073,46.017315,6.583083,184.14854,36.03511,0.13587944,-0.160947,0.13587944
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.740073,45.992058,6.7152033,184.15437,34.417587,0.13463841,-0.124103844,0.13463841
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.750073,45.965122,6.84594,184.15402,34.657608,0.13348345,-0.115495935,0.13348345
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.760073,45.93857,6.9758253,184.15688,35.05605,0.132603,-0.088043936,0.132603
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.770073,45.910213,7.1065702,184.15503,36.47102,0.13379708,0.119406894,0.13379708
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.780073,45.87809,7.239562,184.14789,37.166073,0.13700205,0.32049742,0.13700205
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.790073,45.849583,7.3778214,184.1557,37.41657,0.14138319,0.43811265,0.14138319
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.800073,45.81317,7.521905,184.14952,37.871548,0.14874114,0.7357963,0.14874114
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.810073,45.774353,7.672644,184.1411,37.996098,0.15588461,0.7143469,0.15588461
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.820073,45.7394,7.8312726,184.15195,38.205612,0.16279618,0.69115657,0.16279618
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.830073,45.69746,7.9930887,184.1398,35.42201,0.16760306,0.48068783,0.16760306
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.840073,45.656498,8.15569,184.13382,34.313267,0.16778868,0.018562293,0.16778868
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.850073,45.615944,8.3162365,184.12685,33.993267,0.16573566,-0.20530245,0.16573566
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.860073,45.577576,8.472698,184.12534,34.301468,0.16110475,-0.4630895,0.16110475
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.870073,45.54216,8.623326,184.12831,35.437,0.1547638,-0.6340961,0.1547638
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.880073,45.50852,8.768441,184.13373,36.689224,0.1490615,-0.5702303,0.1490615
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.890073,45.47332,8.907894,184.1344,37.72022,0.14382811,-0.52333814,0.14382811
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.900073,45.43798,9.046807,184.1347,37.766777,0.14333853,-0.04895765,0.14333853
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.910073,45.40136,9.187363,184.13359,37.361145,0.1452524,0.19138627,0.1452524
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.920074,45.35582,9.331524,184.11504,36.733418,0.15230316,0.7050058,0.15231839
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.930074,45.310818,9.483511,184.10841,33.565388,0.15864699,0.634382,0.15864699
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.940074,45.26373,9.643317,184.10709,32.264942,0.16660452,0.7957541,0.16660452
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.950074,45.213997,9.808756,184.10234,32.807762,0.17281774,0.6213216,0.17281774
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.960074,45.167828,9.979766,184.11696,33.757202,0.17773573,0.49179855,0.17773573
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.970074,45.122498,10.152765,184.13678,34.819286,0.17993459,0.21988574,0.17993459
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.980074,45.074493,10.325587,184.15213,35.99501,0.18001965,0.008506531,0.18001965
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:22:59.990074,45.024094,10.495329,184.15018,36.77028,0.17707714,-0.2942512,0.17707714
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:23:00.000074,44.975594,10.658628,184.15228,37.13297,0.17036247,-0.6714669,0.17036247
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:23:00.010074,44.929523,10.816969,184.16167,37.983383,0.16517335,-0.51891094,0.16517335
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:23:00.020074,44.880997,10.971096,184.16014,38.05649,0.16159342,-0.35799325,0.16159342
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:23:00.040074,44.8291,11.135365,184.16742,36.766987,0.0862122,-3.769061,0.1724244
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:23:00.050074,44.771545,11.302352,184.15703,37.31011,0.17693269,9.072049,0.17693269
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:23:00.060074,44.710567,11.474027,184.14835,37.340733,0.18239051,0.54578173,0.18239051
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:23:00.070074,44.646175,11.651215,184.13492,37.559708,0.1890024,0.6611878,0.1890024
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:23:00.080074,44.578445,11.833407,184.12158,37.919502,0.19483212,0.5829726,0.19483212
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:23:00.090074,44.512535,12.02181,184.11807,37.94592,0.19962999,0.47978786,0.19962999
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:23:00.100074,44.442406,12.214467,184.10962,38.368176,0.20519777,0.5567771,0.20519777
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:23:00.110074,44.372925,12.410346,184.11095,38.468456,0.20784144,0.26436728,0.20784144
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:23:00.120074,44.3016,12.607918,184.11453,38.4409,0.2100828,0.22413555,0.2100828
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:23:00.130074,44.230995,12.806341,184.11876,38.465214,0.21065326,0.05704637,0.21065326
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:23:00.140074,44.163727,12.993576,184.12039,35.454216,0.1989586,-1.1694654,0.1989586
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:23:00.150075,44.098152,13.1750555,184.1278,35.380363,0.19308586,-0.58721536,0.19310518
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:23:00.160075,44.036743,13.353902,184.14827,35.930264,0.1901984,-0.2887454,0.1901984
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:23:00.170075,43.968422,13.530441,184.14734,36.972355,0.18930086,-0.089754574,0.18930086
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:23:00.180075,43.898952,13.709183,184.14915,37.531452,0.19177495,0.2474079,0.19177495
01G0QN514PMR53AG3YVCXYFKJ1,2022-04-15 22:23:00.190075,43.825768,13.887703,184.14702,37.495533,0.19295254,0.117760494,0.19295254
