id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.154605,46.819046,-0.25511917,184.15485,26.617252,0.046471436,0.21467562,0.046471436
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.164605,46.814598,-0.20863539,184.14316,27.185997,0.048136245,0.16648088,0.048136245
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.174605,46.810947,-0.16063319,184.13808,27.802954,0.048408788,0.02725435,0.048408788
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.184605,46.81032,-0.111849666,184.14233,28.504656,0.04897293,0.056414176,0.04897293
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.194605,46.81254,-0.061683614,184.15459,26.935251,0.051689703,0.27167726,0.051689703
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.204605,46.809643,-0.009687702,184.15086,26.407711,0.052209258,0.05195536,0.052209258
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.214605,46.808823,0.043525722,184.15666,26.245852,0.053534377,0.13251206,0.053534377
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.224605,46.806435,0.09720943,184.15424,26.420086,0.053791214,0.025683764,0.053791214
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.234605,46.80509,0.15237643,184.15659,26.892668,0.055232912,0.14416979,0.055232912
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.244605,46.805008,0.20905742,184.16609,27.198277,0.05747394,0.22410274,0.05747394
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.254605,46.80017,0.2671198,184.15862,27.862175,0.05874237,0.12684286,0.05874237
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.264605,46.798496,0.32717338,184.16135,28.767721,0.060139447,0.13970798,0.060139447
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.274605,46.79811,0.38921425,184.17017,29.411566,0.06266558,0.25261346,0.06266558
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.284605,46.791695,0.45345742,184.15956,29.767082,0.06542835,0.27627653,0.06542835
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.294605,46.78933,0.52027833,184.16301,28.197874,0.06695186,0.15235128,0.06695186
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.304605,46.78694,0.5887112,184.1668,27.523989,0.068578504,0.16266398,0.068578504
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.314606,46.785103,0.65805995,184.1755,27.334635,0.06991081,0.13321769,0.069917805
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.324606,46.78201,0.7283869,184.17703,27.414188,0.07041142,0.050061174,0.07041142
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.334606,46.779057,0.79845214,184.18243,27.440325,0.07033521,-0.007621371,0.07033521
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.344606,46.77463,0.86823326,184.17964,27.807728,0.06997699,-0.035821646,0.06997699
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.354606,46.771854,0.93818045,184.18098,28.06859,0.070015274,0.0038283763,0.070015274
01G0QNA7FMTXFR08ZYCM4ERZ4K,2022-04-15 22:25:49.364606,46.76694,1.0072066,184.17499,28.83116,0.06946039,-0.055488653,0.06946039
