id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.644676,30.672913,-39.179775,315.0403,24.325768,0.024892624,0.37832406,0.024892624
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.654676,30.694345,-39.1658,315.02332,23.12042,0.030721668,0.58290434,0.030721668
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.664676,30.72152,-39.14798,315.0183,23.63726,0.032874156,0.21524897,0.032874156
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.674676,30.752293,-39.12936,315.0033,24.054445,0.038972896,0.6098739,0.038972896
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.684676,30.779577,-39.11305,314.9979,25.211208,0.032248035,-0.6724862,0.032248035
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.694676,30.811832,-39.096043,315.0043,26.473349,0.037021674,0.4773641,0.037021674
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.704677,30.84484,-39.081,315.01077,27.617102,0.036843415,-0.017824333,0.0368471
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.714677,30.879438,-39.066196,315.0205,30.011694,0.03887546,0.2032047,0.03887546
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.724677,30.915968,-39.049133,315.0247,30.555397,0.040534277,0.16588143,0.040534277
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.734677,30.951067,-39.028275,315.00247,32.43421,0.046488866,0.59545904,0.046488866
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.744677,30.986746,-39.00625,314.9743,33.634842,0.050510094,0.4021227,0.050510094
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.754677,31.030977,-38.98689,314.99753,31.891045,0.053580135,0.30700442,0.053580135
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.764677,31.072138,-38.96743,314.99133,30.201817,0.045947623,-0.7632514,0.045947623
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.774677,31.115181,-38.94443,314.98938,29.400146,0.0488431,0.28954792,0.0488431
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.784677,31.160082,-38.921204,314.99893,29.66535,0.051449046,0.2605945,0.051449046
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.794677,31.203817,-38.899094,314.98917,30.678076,0.049973365,-0.14756832,0.049973365
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.804677,31.24928,-38.872757,314.9784,30.444195,0.05363458,0.36612153,0.05363458
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.814677,31.29471,-38.844784,314.96863,31.533188,0.05423553,0.060095202,0.05423553
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.824677,31.340572,-38.818516,314.95203,32.357426,0.055392757,0.11572271,0.055392757
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.834677,31.38933,-38.793106,314.95154,33.2033,0.054983817,-0.040894106,0.054983817
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.844677,31.439037,-38.767876,314.95883,34.37629,0.056221347,0.12375306,0.056221347
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.854677,31.48704,-38.743034,314.9701,34.664944,0.055210337,-0.10110106,0.055210337
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.864677,31.539772,-38.714203,314.9725,32.72106,0.06014842,0.49380854,0.06014842
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.874677,31.59301,-38.68491,314.9812,31.191229,0.061383653,0.12352329,0.061383653
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.884677,31.645206,-38.657223,314.9712,31.244274,0.059929226,-0.14544305,0.059929226
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.894677,31.69918,-38.6263,314.9639,31.44001,0.06263044,0.270121,0.06263044
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.904677,31.753769,-38.59315,314.9488,32.87839,0.06562778,0.29973525,0.06562778
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.914677,31.812412,-38.56325,314.95535,33.488747,0.066153124,0.052533902,0.066153124
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.924678,31.874542,-38.53102,314.96887,35.37666,0.071277,0.51233584,0.07128412
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.934678,31.935383,-38.49747,314.96616,36.436283,0.069531746,-0.17452468,0.069531746
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.944678,31.998438,-38.461693,314.97174,37.5102,0.07271276,0.31810045,0.07271276
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.954678,32.060455,-38.422016,314.9387,34.32036,0.080700666,0.7987912,0.080700666
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.964678,32.12511,-38.386482,314.94022,32.98974,0.07379183,-0.6908834,0.07379183
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.974678,32.189644,-38.35503,314.9506,31.497719,0.072530754,-0.12610775,0.072530754
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.984678,32.251907,-38.31817,314.93613,31.685337,0.073787585,0.12568259,0.073787585
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:01.994678,32.313316,-38.280243,314.92136,31.301508,0.07366983,-0.011774938,0.07366983
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.004678,32.375458,-38.246807,314.9244,32.80328,0.070631094,-0.30387384,0.070631094
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.014678,32.438953,-38.21328,314.92786,33.846897,0.07188519,0.12540977,0.07188519
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.024678,32.501244,-38.17878,314.9275,34.952724,0.07120887,-0.06763207,0.07120887
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.034678,32.565693,-38.144806,314.9438,36.5963,0.07465589,0.34470224,0.07465589
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.044678,32.630203,-38.10973,314.94305,37.278973,0.07343505,-0.12208374,0.07343505
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.054678,32.700798,-38.07542,314.97318,35.835773,0.084075406,1.064035,0.084075406
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.064678,32.769466,-38.03886,314.98877,33.195095,0.07934467,-0.47307378,0.07934467
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.074678,32.838757,-37.99646,314.97934,32.444233,0.08178101,0.24363366,0.08178101
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.084678,32.911877,-37.954117,314.9898,33.391018,0.08514066,0.3359653,0.08514066
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.094678,32.98972,-37.914944,315.01816,34.614693,0.09164379,0.65031296,0.09164379
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.104678,33.066692,-37.86934,315.0182,36.01722,0.089466356,-0.2177435,0.089466356
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.114678,33.142494,-37.82074,315.0033,37.06889,0.091264285,0.1797935,0.091264285
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.124678,33.22238,-37.775383,315.0178,37.451115,0.092998765,0.173448,0.092998765
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.134678,33.30094,-37.72557,314.99646,38.569427,0.09543747,0.24386965,0.09543747
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.144678,33.38333,-37.675083,314.98907,40.04352,0.09690777,0.14703064,0.09690777
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.154679,33.46511,-37.62433,314.9752,37.03184,0.0972369,0.032909896,0.097246625
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.164679,33.548008,-37.57341,314.96307,34.76059,0.09803603,0.079912946,0.09803603
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.174679,33.63343,-37.522358,314.96387,34.922306,0.09951681,0.14807765,0.09951681
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.184679,33.717976,-37.46962,314.9521,35.370876,0.10034321,0.08264079,0.10034321
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.194679,33.805965,-37.41675,314.97046,36.20378,0.10428673,0.3943512,0.10428673
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.204679,33.899857,-37.3685,315.0082,37.702667,0.112104565,0.7817838,0.112104565
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.214679,33.99083,-37.31139,315.00452,38.752304,0.10748,-0.4624566,0.10748
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.224679,34.082695,-37.251225,314.9877,40.171806,0.11109226,0.36122623,0.11109226
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.234679,34.176968,-37.18758,314.96054,41.34325,0.11694136,0.58491,0.11694136
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.244679,34.27226,-37.124035,314.93695,42.432995,0.11694101,-3.5155696e-05,0.11694101
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.254679,34.363796,-37.05688,314.89774,40.19284,0.120111875,0.31708634,0.120111875
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.264679,34.458057,-36.992546,314.88364,38.572216,0.11498851,-0.5123359,0.11498851
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.274679,34.553726,-36.933937,314.90018,37.436462,0.11340917,-0.1579345,0.11340917
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.284679,34.648605,-36.876278,314.91745,37.266815,0.112358525,-0.105064824,0.112358525
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.294679,34.737442,-36.81756,314.89572,38.197937,0.10868145,-0.36770722,0.10868145
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.304679,34.82521,-36.75729,314.88937,38.893482,0.10666023,-0.20212205,0.10666023
01G142S3VYKJYKFQWTZSH5DP28,2022-04-20 18:12:02.314679,34.92016,-36.706425,314.9371,39.814186,0.11781411,1.1153883,0.11781411
